Software_name,category_1,option_1,,category_2,option_2,category_3,option_3,category_4,option_4,category_5,option_5,category_6,option_6,category_7,option_7,category_8,option_8,category_9,option_9,category_10,option_10,category_11,option_11,category_12,option_12,category_13,option_13,category_14,option_14,category_15,option_15,category_16
Azure Monitor,https://www.g2.com/categories/other-analytics,otro-analitica,https://www.g2.com/categories/other-analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP Analytics Cloud,https://www.g2.com/categories/predictive-analytics,analitica-predictiva,https://www.g2.com/categories/predictive-analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM Watson Studio,https://www.g2.com/categories/predictive-analytics,analitica-predictiva,https://www.g2.com/categories/predictive-analytics,https://www.g2.com/categories/text-analysis,analisis-texto,https://www.g2.com/categories/data-science-and-machine-learning-platforms,plataformas-ciencia-datos-aprendizaje-automatico,https://www.g2.com/categories/mlops-platforms,,,,,,,,,,,,,,,,,,,,,,,,
IBM SPSS Statistics,https://www.g2.com/categories/statistical-analysis,analisis-estadistico,https://www.g2.com/categories/statistical-analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMP,https://www.g2.com/categories/statistical-analysis,analisis-estadistico,https://www.g2.com/categories/statistical-analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minitab Statistical Software,https://www.g2.com/categories/statistical-analysis,analisis-estadistico,https://www.g2.com/categories/statistical-analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS Visual Text Analytics,https://www.g2.com/categories/text-analysis,analisis-texto,https://www.g2.com/categories/text-analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Comprehend,https://www.g2.com/categories/text-analysis,analisis-texto,https://www.g2.com/categories/text-analysis,https://www.g2.com/categories/natural-language-understanding-nlu,comprension-lenguaje-natural-nlu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Cloud Interference API,https://www.g2.com/categories/time-series-intelligence,inteligencia-series-temporales,https://www.g2.com/categories/time-series-intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Forecast,https://www.g2.com/categories/time-series-intelligence,inteligencia-series-temporales,https://www.g2.com/categories/time-series-intelligence,https://www.g2.com/categories/machine-learning,aprendizaje-automatico,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seeq,https://www.g2.com/categories/time-series-intelligence,inteligencia-series-temporales,https://www.g2.com/categories/time-series-intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisco Meraki,https://www.g2.com/categories/visitor-behavior-intelligence,inteligencia-comportamiento-visitante,https://www.g2.com/categories/visitor-behavior-intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM watsonx Assistant,https://www.g2.com/categories/bot-platforms,plataformas-bots,https://www.g2.com/categories/bot-platforms,https://www.g2.com/categories/intelligent-virtual-assistants,asistentes-virtuales-inteligentes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift,https://www.g2.com/categories/bot-platforms,plataformas-bots,https://www.g2.com/categories/bot-platforms,https://www.g2.com/categories/chatbots,chatbots,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualified,https://www.g2.com/categories/bot-platforms,plataformas-bots,https://www.g2.com/categories/bot-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zendesk Support Suite,https://www.g2.com/categories/chatbots,chatbots,https://www.g2.com/categories/chatbots,https://www.g2.com/categories/google-workspace-business-tools,,https://www.g2.com/categories/google-workspace-for-sales,google-workspace-ventas,https://www.g2.com/categories/google-workspace-communication-tools,herramientas-comunicacion-google-workspace,https://www.g2.com/categories/shared-inbox,buzon-entrada-compartido,https://www.g2.com/categories/help-desk,,https://www.g2.com/categories/live-chat,chat-en-vivo,https://www.g2.com/categories/customer-self-service,autoservicio-cliente,https://www.g2.com/categories/social-customer-service,servicio-cliente-social,https://www.g2.com/categories/contact-center-knowledge-base,base-conocimientos-centro-contacto,https://www.g2.com/categories/complaint-management,gestion-quejas,https://www.g2.com/categories/conversational-support,soporte-conversacional,https://www.g2.com/categories/digital-customer-service-platforms,plataformas-servicio-cliente-digital,https://www.g2.com/categories/proactive-notification,notificacion-proactiva,,,
Intercom,https://www.g2.com/categories/chatbots,chatbots,https://www.g2.com/categories/chatbots,https://www.g2.com/categories/live-chat,chat-en-vivo,https://www.g2.com/categories/conversational-support,soporte-conversacional,https://www.g2.com/categories/customer-communications-management,gestion-comunicaciones-cliente,https://www.g2.com/categories/customer-service-automation,automatizacion-servicio-cliente,,,,,,,,,,,,,,,,,,,,,
Kore.AI,https://www.g2.com/categories/intelligent-virtual-assistants,asistentes-virtuales-inteligentes,https://www.g2.com/categories/intelligent-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leena AI,https://www.g2.com/categories/intelligent-virtual-assistants,asistentes-virtuales-inteligentes,https://www.g2.com/categories/intelligent-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anyword,https://www.g2.com/categories/natural-language-generation-nlg,generacion-lenguaje-natural-nlg,https://www.g2.com/categories/natural-language-generation-nlg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quill,https://www.g2.com/categories/natural-language-generation-nlg,generacion-lenguaje-natural-nlg,https://www.g2.com/categories/natural-language-generation-nlg,https://www.g2.com/categories/wysiwyg-editors,editores-wysiwyg,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX Semantics,https://www.g2.com/categories/natural-language-generation-nlg,generacion-lenguaje-natural-nlg,https://www.g2.com/categories/natural-language-generation-nlg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Cloud Natural nguage API,https://www.g2.com/categories/natural-language-understanding-nlu,comprension-lenguaje-natural-nlu,https://www.g2.com/categories/natural-language-understanding-nlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM Watson Knowledge Studio,https://www.g2.com/categories/natural-language-understanding-nlu,comprension-lenguaje-natural-nlu,https://www.g2.com/categories/natural-language-understanding-nlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperAnnotate,https://www.g2.com/categories/data-labeling,etiquetado-datos,https://www.g2.com/categories/data-labeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encord,https://www.g2.com/categories/data-labeling,etiquetado-datos,https://www.g2.com/categories/data-labeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kili,https://www.g2.com/categories/data-labeling,etiquetado-datos,https://www.g2.com/categories/data-labeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Databricks kehouse Platform,https://www.g2.com/categories/data-science-and-machine-learning-platforms,plataformas-ciencia-datos-aprendizaje-automatico,https://www.g2.com/categories/data-science-and-machine-learning-platforms,https://www.g2.com/categories/mlops-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertex AI,https://www.g2.com/categories/data-science-and-machine-learning-platforms,plataformas-ciencia-datos-aprendizaje-automatico,https://www.g2.com/categories/data-science-and-machine-learning-platforms,https://www.g2.com/categories/machine-learning,aprendizaje-automatico,https://www.g2.com/categories/mlops-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Cloud Deep Learning Containers,https://www.g2.com/categories/artificial-neural-network,redes-neuronales-artificiales,https://www.g2.com/categories/artificial-neural-network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Cognitive Toolkit (Formerly CNTK),https://www.g2.com/categories/artificial-neural-network,redes-neuronales-artificiales,https://www.g2.com/categories/artificial-neural-network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synaptic.js,https://www.g2.com/categories/artificial-neural-network,redes-neuronales-artificiales,https://www.g2.com/categories/artificial-neural-network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Cloud Vision API,https://www.g2.com/categories/image-recognition,reconocimiento-imagenes,https://www.g2.com/categories/image-recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syte,https://www.g2.com/categories/image-recognition,reconocimiento-imagenes,https://www.g2.com/categories/image-recognition,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataloop,https://www.g2.com/categories/image-recognition,reconocimiento-imagenes,https://www.g2.com/categories/image-recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Cloud Speech-to-Text,https://www.g2.com/categories/voice-recognition,reconocimiento-voz,https://www.g2.com/categories/voice-recognition,https://www.g2.com/categories/transcription,transcripcion,https://www.g2.com/categories/speech-analytics,analisis-voz,,,,,,,,,,,,,,,,,,,,,,,,,
Deepgram,https://www.g2.com/categories/voice-recognition,reconocimiento-voz,https://www.g2.com/categories/voice-recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krisp,https://www.g2.com/categories/voice-recognition,reconocimiento-voz,https://www.g2.com/categories/voice-recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChatGPT,https://www.g2.com/categories/ai-chatbots,chatbots-ia,https://www.g2.com/categories/ai-chatbots,https://www.g2.com/categories/ai-code-generation,generacion-codigo-ai,https://www.g2.com/categories/synthetic-media,medios-sinteticos,,,,,,,,,,,,,,,,,,,,,,,,,
Bing Chat,https://www.g2.com/categories/ai-chatbots,chatbots-ia,https://www.g2.com/categories/ai-chatbots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Bard,https://www.g2.com/categories/ai-chatbots,chatbots-ia,https://www.g2.com/categories/ai-chatbots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Copilot,https://www.g2.com/categories/ai-code-generation,generacion-codigo-ai,https://www.g2.com/categories/ai-code-generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask Codi,https://www.g2.com/categories/ai-code-generation,generacion-codigo-ai,https://www.g2.com/categories/ai-code-generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midjourney,https://www.g2.com/categories/ai-image-generators,generacion-imagenes-ai,https://www.g2.com/categories/ai-image-generators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Bing Image Creator,https://www.g2.com/categories/ai-image-generators,generacion-imagenes-ai,https://www.g2.com/categories/ai-image-generators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALL·E 2,https://www.g2.com/categories/ai-image-generators,generacion-imagenes-ai,https://www.g2.com/categories/ai-image-generators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grammarly Business,https://www.g2.com/categories/ai-writing-assistant,asistente-escritura-ai,https://www.g2.com/categories/ai-writing-assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notion,https://www.g2.com/categories/ai-writing-assistant,asistente-escritura-ai,https://www.g2.com/categories/ai-writing-assistant,https://www.g2.com/categories/note-taking-management,gestion-notas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper,https://www.g2.com/categories/ai-writing-assistant,asistente-escritura-ai,https://www.g2.com/categories/ai-writing-assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERT,https://www.g2.com/categories/large-language-models-llms,modelos-lenguaje-grandes-llm,https://www.g2.com/categories/large-language-models-llms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoGPT,https://www.g2.com/categories/large-language-models-llms,modelos-lenguaje-grandes-llm,https://www.g2.com/categories/large-language-models-llms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM watsonx.ai,https://www.g2.com/categories/large-language-models-llms,modelos-lenguaje-grandes-llm,https://www.g2.com/categories/large-language-models-llms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synthesia,https://www.g2.com/categories/synthetic-media,medios-sinteticos,https://www.g2.com/categories/synthetic-media,https://www.g2.com/categories/text-to-speech,texto-voz,https://www.g2.com/categories/video-communications,comunicaciones-video,,,,,,,,,,,,,,,,,,,,,,,,,
Writesonic,https://www.g2.com/categories/synthetic-media,medios-sinteticos,https://www.g2.com/categories/synthetic-media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Cloud Text-to-Speech,https://www.g2.com/categories/text-to-speech,texto-voz,https://www.g2.com/categories/text-to-speech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Polly,https://www.g2.com/categories/text-to-speech,texto-voz,https://www.g2.com/categories/text-to-speech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS Model Manager,https://www.g2.com/categories/machine-learning,aprendizaje-automatico,https://www.g2.com/categories/machine-learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonic.ai,https://www.g2.com/categories/synthetic-data,datos-sinteticos,https://www.g2.com/categories/synthetic-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syntho,https://www.g2.com/categories/synthetic-data,datos-sinteticos,https://www.g2.com/categories/synthetic-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOSTLY AI Synthetic Data Platform,https://www.g2.com/categories/synthetic-data,datos-sinteticos,https://www.g2.com/categories/synthetic-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhombus,https://www.g2.com/categories/video-surveillance,videovigilancia,https://www.g2.com/categories/video-surveillance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verkada,https://www.g2.com/categories/video-surveillance,videovigilancia,https://www.g2.com/categories/video-surveillance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hikvision iVMS-5200,https://www.g2.com/categories/video-surveillance,videovigilancia,https://www.g2.com/categories/video-surveillance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoho Lens,https://www.g2.com/categories/ar-collaboration-tools,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vuforia Chalk,https://www.g2.com/categories/ar-collaboration-tools,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRe Link,https://www.g2.com/categories/ar-collaboration-tools,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
echo3D,https://www.g2.com/categories/ar-content-management-systems,sistemas-gestion-contenido-ra,https://www.g2.com/categories/ar-content-management-systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zapworks,https://www.g2.com/categories/ar-content-management-systems,sistemas-gestion-contenido-ra,https://www.g2.com/categories/ar-content-management-systems,https://www.g2.com/categories/ar-wysiwyg-editor,editor-wysiwyg-ra,,,,,,,,,,,,,,,,,,,,,,,,,,,
itSilesia,https://www.g2.com/categories/ar-content-management-systems,sistemas-gestion-contenido-ra,https://www.g2.com/categories/ar-content-management-systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKit,https://www.g2.com/categories/ar-sdk,,#N/A,https://www.g2.com/categories/ar-game-engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCore,https://www.g2.com/categories/ar-sdk,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISCOPIC Pins,https://www.g2.com/categories/ar-sdk,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Aero,https://www.g2.com/categories/ar-wysiwyg-editor,editor-wysiwyg-ra,https://www.g2.com/categories/ar-wysiwyg-editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vuforia Studio,https://www.g2.com/categories/ar-wysiwyg-editor,editor-wysiwyg-ra,https://www.g2.com/categories/ar-wysiwyg-editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unity,https://www.g2.com/categories/ar-game-engine,motor-juego-ra,https://www.g2.com/categories/ar-game-engine,https://www.g2.com/categories/vr-game-engine,motor-juego-rv,https://www.g2.com/categories/3d-rendering,renderizado-3d,https://www.g2.com/categories/game-engine,game-engine,,,,,,,,,,,,,,,,,,,,,,,
Unreal Engine,https://www.g2.com/categories/ar-game-engine,motor-juego-ra,https://www.g2.com/categories/ar-game-engine,https://www.g2.com/categories/vr-game-engine,motor-juego-rv,https://www.g2.com/categories/game-engine,game-engine,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamics 365 Guides,https://www.g2.com/categories/ar-training-simulator,simulador-entrenamiento-ra,https://www.g2.com/categories/ar-training-simulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help Lightning,https://www.g2.com/categories/ar-training-simulator,simulador-entrenamiento-ra,https://www.g2.com/categories/ar-training-simulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabrik,https://www.g2.com/categories/ar-training-simulator,simulador-entrenamiento-ra,https://www.g2.com/categories/ar-training-simulator,https://www.g2.com/categories/industrial-ar-platforms,plataformas-industriales-ra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayduck,https://www.g2.com/categories/ar-visualization,visualizacion-ra,https://www.g2.com/categories/ar-visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Business Card,https://www.g2.com/categories/ar-visualization,visualizacion-ra,https://www.g2.com/categories/ar-visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SketchAR,https://www.g2.com/categories/ar-visualization,visualizacion-ra,https://www.g2.com/categories/ar-visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vuforia Engine,https://www.g2.com/categories/industrial-ar-platforms,plataformas-industriales-ra,https://www.g2.com/categories/industrial-ar-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augmentir,https://www.g2.com/categories/industrial-ar-platforms,plataformas-industriales-ra,https://www.g2.com/categories/industrial-ar-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VrChat,https://www.g2.com/categories/vr-collaboration,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hubs,https://www.g2.com/categories/vr-collaboration,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeetinVR,https://www.g2.com/categories/vr-collaboration,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArborXR,https://www.g2.com/categories/vr-content-management-systems,sistemas-gestion-contenido-rv,https://www.g2.com/categories/vr-content-management-systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firefox Reality,https://www.g2.com/categories/vr-content-management-systems,sistemas-gestion-contenido-rv,https://www.g2.com/categories/vr-content-management-systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contentstack,https://www.g2.com/categories/vr-content-management-systems,sistemas-gestion-contenido-rv,https://www.g2.com/categories/vr-content-management-systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Reality on Steam,https://www.g2.com/categories/vr-marketplace,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSVR,https://www.g2.com/categories/vr-marketplace,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRWorks,https://www.g2.com/categories/vr-marketplace,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360° media,https://www.g2.com/categories/vr-sdk,sdk-rv,https://www.g2.com/categories/vr-sdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel RealSense,https://www.g2.com/categories/vr-sdk,sdk-rv,https://www.g2.com/categories/vr-sdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leap Motion,https://www.g2.com/categories/vr-sdk,sdk-rv,https://www.g2.com/categories/vr-sdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maya,https://www.g2.com/categories/vr-game-engine,motor-juego-rv,https://www.g2.com/categories/vr-game-engine,https://www.g2.com/categories/3d-modeling,,https://www.g2.com/categories/3d-rendering,renderizado-3d,,,,,,,,,,,,,,,,,,,,,,,,,
Warp VR,https://www.g2.com/categories/vr-training-simulator,simulador-entrenamiento-rv,https://www.g2.com/categories/vr-training-simulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRIVR,https://www.g2.com/categories/vr-training-simulator,simulador-entrenamiento-rv,https://www.g2.com/categories/vr-training-simulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClassVR,https://www.g2.com/categories/vr-training-simulator,simulador-entrenamiento-rv,https://www.g2.com/categories/vr-training-simulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yulio,https://www.g2.com/categories/vr-visualization,visualizacion-rv,https://www.g2.com/categories/vr-visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ActiveSystems,https://www.g2.com/categories/vr-visualization,visualizacion-rv,https://www.g2.com/categories/vr-visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ds Max Design,https://www.g2.com/categories/vr-visualization,visualizacion-rv,https://www.g2.com/categories/vr-visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupon,https://www.g2.com/categories/merchant-marketing,marketing-comerciantes,https://www.g2.com/categories/merchant-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travelzoo,https://www.g2.com/categories/merchant-marketing,marketing-comerciantes,https://www.g2.com/categories/merchant-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilt,https://www.g2.com/categories/merchant-marketing,marketing-comerciantes,https://www.g2.com/categories/merchant-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instacart,https://www.g2.com/categories/grocery-delivery,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopHero,https://www.g2.com/categories/grocery-delivery,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Eggs,https://www.g2.com/categories/grocery-delivery,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foodee,https://www.g2.com/categories/on-demand-catering,catering-pedido,https://www.g2.com/categories/on-demand-catering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoKhana,https://www.g2.com/categories/on-demand-catering,catering-pedido,https://www.g2.com/categories/on-demand-catering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoppier,https://www.g2.com/categories/on-demand-catering,catering-pedido,https://www.g2.com/categories/on-demand-catering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiggy,https://www.g2.com/categories/restaurant-delivery-takeout,entrega-restaurantes-comida-llevar,https://www.g2.com/categories/restaurant-delivery-takeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zomato for Business,https://www.g2.com/categories/restaurant-delivery-takeout,entrega-restaurantes-comida-llevar,https://www.g2.com/categories/restaurant-delivery-takeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrubHub,https://www.g2.com/categories/restaurant-delivery-takeout,entrega-restaurantes-comida-llevar,https://www.g2.com/categories/restaurant-delivery-takeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glam App,https://www.g2.com/categories/on-demand-wellness,bienestar-pedido,https://www.g2.com/categories/on-demand-wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManiCare,https://www.g2.com/categories/on-demand-wellness,bienestar-pedido,https://www.g2.com/categories/on-demand-wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soothe,https://www.g2.com/categories/on-demand-wellness,bienestar-pedido,https://www.g2.com/categories/on-demand-wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uber for Business,https://www.g2.com/categories/ride-sharing,viajes-compartidos,https://www.g2.com/categories/ride-sharing,https://www.g2.com/categories/travel-management,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ola Corporate,https://www.g2.com/categories/ride-sharing,viajes-compartidos,https://www.g2.com/categories/ride-sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyft Business,https://www.g2.com/categories/ride-sharing,viajes-compartidos,https://www.g2.com/categories/ride-sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healy Consultants,https://www.g2.com/categories/business-filing-and-licensing,presentacion-licencias-comerciales,https://www.g2.com/categories/business-filing-and-licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firstbase Start,https://www.g2.com/categories/business-filing-and-licensing,presentacion-licencias-comerciales,https://www.g2.com/categories/business-filing-and-licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LegalZoom,https://www.g2.com/categories/business-filing-and-licensing,presentacion-licencias-comerciales,https://www.g2.com/categories/business-filing-and-licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eqvista 409a Valuation,https://www.g2.com/categories/409a-valuations-providers,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409A Valuation from Eton Venture Services,https://www.g2.com/categories/409a-valuations-providers,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carta 409A Valuation,https://www.g2.com/categories/409a-valuations-providers,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inDinero,https://www.g2.com/categories/accounting-firms,firmas-contabilidad,https://www.g2.com/categories/accounting-firms,https://www.g2.com/categories/tax-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilot,https://www.g2.com/categories/accounting-firms,firmas-contabilidad,https://www.g2.com/categories/accounting-firms,https://www.g2.com/categories/bookkeeping-services,servicios-teneduria-libros,https://www.g2.com/categories/tax-services,,https://www.g2.com/categories/tax-credit-providers,,,,,,,,,,,,,,,,,,,,,,,,
PricewaterhouseCoopers (PwC),https://www.g2.com/categories/accounting-firms,firmas-contabilidad,https://www.g2.com/categories/accounting-firms,https://www.g2.com/categories/auditing-services,servicios-auditoria,https://www.g2.com/categories/enterprise-performance-management-epm-consultants,consultores-gestion-rendimiento-empresarial-epm,https://www.g2.com/categories/tax-credit-providers,,,,,,,,,,,,,,,,,,,,,,,,
Deloitte Consulting,https://www.g2.com/categories/auditing-services,servicios-auditoria,https://www.g2.com/categories/auditing-services,https://www.g2.com/categories/aws-consulting-services,,https://www.g2.com/categories/oracle-consulting-services,,https://www.g2.com/categories/workday-consulting-services,consultoria-workday,,,,,,,,,,,,,,,,,,,,,,,
Ernst & Young,https://www.g2.com/categories/auditing-services,servicios-auditoria,https://www.g2.com/categories/auditing-services,https://www.g2.com/categories/financial-consulting,consultoria-financiera,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuickBooks Live Bookkeeping,https://www.g2.com/categories/bookkeeping-services,servicios-teneduria-libros,https://www.g2.com/categories/bookkeeping-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench,https://www.g2.com/categories/bookkeeping-services,servicios-teneduria-libros,https://www.g2.com/categories/bookkeeping-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPMG,https://www.g2.com/categories/enterprise-performance-management-epm-consultants,consultores-gestion-rendimiento-empresarial-epm,https://www.g2.com/categories/enterprise-performance-management-epm-consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agium,https://www.g2.com/categories/enterprise-performance-management-epm-consultants,consultores-gestion-rendimiento-empresarial-epm,https://www.g2.com/categories/enterprise-performance-management-epm-consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outhire,https://www.g2.com/categories/finance-and-accounting-business-process-outsourcing-service,subcontratacion-procesos-comerciales-finanzas-contabilidad,https://www.g2.com/categories/finance-and-accounting-business-process-outsourcing-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aidey,https://www.g2.com/categories/finance-and-accounting-business-process-outsourcing-service,subcontratacion-procesos-comerciales-finanzas-contabilidad,https://www.g2.com/categories/finance-and-accounting-business-process-outsourcing-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACL Global,https://www.g2.com/categories/finance-and-accounting-business-process-outsourcing-service,subcontratacion-procesos-comerciales-finanzas-contabilidad,https://www.g2.com/categories/finance-and-accounting-business-process-outsourcing-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiserv,https://www.g2.com/categories/financial-consulting,consultoria-financiera,https://www.g2.com/categories/financial-consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs,https://www.g2.com/categories/financial-consulting,consultoria-financiera,https://www.g2.com/categories/financial-consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel,https://www.g2.com/categories/investment-firms,firmas-inversion,https://www.g2.com/categories/investment-firms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
